,Index,Emergent Behavior,Train/Test Score
0,004,"north-to-south, red-to-green transition times",0.5072723254885851
1,009,optimise energy usage in a range of weather conditions,-0.017807600707737903
2,010,promote to use a VPP from a new electricity production cost policy,-0.017142301341271926
3,011,cluster together into local energy collectives,0.29503297119708816
4,012,market mechanisms,0.9319356928960806
5,013,peak optimization,0.41423821108519854
6,016,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context.",0.4226441176100093
7,017,system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events,0.28215047828660345
8,018,agents perform different functions based on their unique advantages relative to other agents postdisruption,0.3134222236811848
9,019,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption",0.10868919830971768
10,020,Negotiation and collaboration for resource allocation and demand efficiency,-0.42690173126927
11,022,supply power power to the electric load,0.2651004446358841
12,023,Different responses according to different demand/response schemes (price-based),0.61049955265489
13,025,to proactively plan the DC operation as a system to be able to exploit its latent flexible energy to achieve a deeper and more efficient integration with the local Smart Grid.,0.24126208222376755
14,026,energy consumption/production patterns,0.931935740594039
15,028,use storage and demand-response techniques,0.3692233594976746
16,030,deploy batteries in different ways depending on the behaviour of their members,0.889716403887125
17,032,grid stability,0.5599369751869876
18,034,decrease the power consumption from power utility by using available energy from the solar panels,0.712198506974039
19,039,improve citizens health,0.8549493884764834
